lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,3223,,,,15,-6304.369140625,-6281.06787109375,-23301.791015625,37.899696350097656,,,,,,,,,
0.001,3239,,,,,,,,,,,,,,,,,
,3239,-204.79566955566406,-203.98062133789062,-815.048095703125,15,,,,,,,,,,,,,
0.001,3259,,,,,,,,,,,,,,,,,
,3259,-329.6773986816406,-328.7198791503906,-957.528076171875,15,,,,,,,,,,,,,
0.001,3279,,,,,,,,,,,,,,,,,
,3279,-1.5456469058990479,-1.002532958984375,-543.1138916015625,15,,,,,,,,,,,,,
0.001,3299,,,,,,,,,,,,,,,,,
,3299,-137.2921600341797,-136.47337341308594,-818.7818603515625,15,,,,,,,,,,,,,
0.001,3319,,,,,,,,,,,,,,,,,
,3319,-243.7044677734375,-242.96961975097656,-734.84716796875,15,,,,,,,,,,,,,
,3327,,,,15,-6356.54833984375,-6332.88330078125,-23666.04296875,37.87154006958008,,,,,,,,,
0.001,3339,,,,,,,,,,,,,,,,,
,3339,-168.80099487304688,-168.0898895263672,-711.102783203125,16,,,,,,,,,,,,,
0.001,3359,,,,,,,,,,,,,,,,,
,3359,-297.3996887207031,-296.48089599609375,-918.7900390625,16,,,,,,,,,,,,,
0.001,3379,,,,,,,,,,,,,,,,,
